la_code,la_name,lts_count,adults_18plus,adults_65plus,share_65plus,assess_count,region,imd_score,vacancy_rate,ascof_1a,lts_rate,assess_rate,observed_expected
E10000029,Suffolk,10000,633976,190540,0.30054765480081264,7900.0,East of England,18.46,6.36013058135767,19.2,1577.3467765341277,1246.1039534619608,1.0183437067906058
E08000024,Sunderland,4010,231836,59845,0.25813506099139044,5825.0,North East,30.586,5.93605942223135,19.4,1729.6709743094257,2512.5519763971083,0.9098618854716425
E10000030,Surrey,11890,979310,239223,0.24427709305531445,7410.0,South East,10.087,8.61358278950971,19.1,1214.1201458169528,756.6551960053507,1.020990324219206
E09000029,Sutton,2140,163671,32890,0.20095190962357412,4010.0,London,13.987,12.97873283386716,18.9,1307.5010233944927,2450.036964398091,0.9799842051918802
E06000030,Swindon,1810,189631,39768,0.20971254699917208,1255.0,South West,18.622,8.60615925782693,19.0,954.4852898523975,661.8116236269386,0.736330984692315
E08000008,Tameside,3215,186742,42169,0.22581422497349285,3305.0,North West,31.374,6.069475768356971,19.1,1721.6266292531943,1769.8214649088047,0.9561929075551376
E06000020,Telford and Wrekin,2135,151704,34994,0.23067288931076307,2530.0,West Midlands,24.988,10.14286918819702,18.8,1407.3458840900703,1667.7213521067342,0.9615864926147757
E06000034,Thurrock,2100,134718,24516,0.18198013628468357,1540.0,East of England,20.928,5.84065987863789,19.6,1558.8117400792767,1143.1286093914696,1.1308530317095746
E06000027,Torbay,2860,115315,38234,0.33156137536313574,1945.0,South West,28.104,5.33706609712002,19.2,2480.16303169579,1686.6842995273814,1.3649551682706385
E09000030,Tower Hamlets,4345,268813,19559,0.07276061797606515,1845.0,London,27.913,5.2583965155701895,18.7,1616.3652799529784,686.350734525488,1.123540544681119
E08000009,Trafford,2875,184288,42515,0.23069868900850843,2560.0,North West,16.088,5.28035934980824,18.8,1560.0581698211495,1389.130057301615,1.1402390737974926
E08000036,Wakefield,4750,290185,70221,0.24198700828781639,3005.0,Yorkshire and The Humber,27.306,6.82307985939405,19.7,1636.8868135844375,1035.5462894360494,1.0606047403259609
E08000030,Walsall,3675,223879,50588,0.22596134519092903,4740.0,West Midlands,31.555,11.11352404458734,19.1,1641.511709450194,2117.2151028010667,0.9998759243329906
E09000031,Waltham Forest,3615,217073,30067,0.1385110078176466,2070.0,London,25.209,7.061807163968529,19.0,1665.3383884683956,953.5962556375043,1.1107898823917057
E09000032,Wandsworth,3340,278925,33551,0.12028681545218249,3570.0,London,16.611,5.05017961189432,19.4,1197.4545128618804,1279.9139553643454,0.9602228771822251
E06000007,Warrington,3140,170592,42685,0.2502168917651473,3295.0,North West,18.942,6.575982353616849,19.2,1840.6490339523543,1931.5090977302568,1.2419568526260472
E10000031,Warwickshire,7035,502815,130108,0.2587591857840359,8430.0,West Midlands,15.64,4.228402536354469,19.4,1399.1229378598491,1676.5609617851496,1.0971064518854978
E06000037,West Berkshire,1925,129617,33561,0.25892436948857017,1375.0,South East,9.952,,19.2,1485.1446955260499,1060.817639661464,
E06000062,West Northamptonshire,4015,343516,76976,0.22408272103773916,4725.0,East Midlands,18.605,5.46361187510014,19.4,1168.7956310623085,1375.4817825079472,0.8843940957907525
E10000032,West Sussex,9400,733094,212898,0.2904102338854226,6500.0,South East,14.429,6.72416119067931,19.0,1282.2366572363162,886.6530076634101,0.9362900939681301
E09000033,Westminster,3030,180162,26528,0.14724525704643598,1335.0,London,20.339,12.32278702431725,18.5,1681.8196956072868,740.9997668764779,1.2075233539473085
E06000064,Westmorland and Furness Council,2905,191032,61145,0.32007726454206625,4140.0,North West,21.261,,19.6,1520.6876334854894,2167.176179907031,
E08000010,Wigan,4455,273225,66487,0.24334156830451092,6060.0,North West,25.713,3.1860346949677396,18.9,1630.5242931649739,2217.95223716717,0.9831537369007615
E06000054,Wiltshire,4775,419499,120151,0.28641546225378367,3915.0,South West,13.447,7.3901799908366,18.7,1138.2625465138176,933.2560983458841,0.8705856940942677
E06000040,Windsor and Maidenhead,1395,124203,29969,0.2412904680241218,1835.0,South East,8.376,3.7741945100847505,19.8,1123.161276297674,1477.420030111994,0.9820993968800207
E08000015,Wirral,4060,262650,74114,0.282177803160099,6140.0,North West,29.589,5.887894877407749,18.8,1545.7833618884447,2337.711783742623,0.8216648745813443
E06000041,Wokingham,1855,142788,32519,0.22774322772221756,2025.0,South East,5.846,7.42532248328609,19.4,1299.1287783287112,1418.186402218674,1.2089025053795384
E08000031,Wolverhampton,3690,212846,45108,0.21192787273427738,4850.0,West Midlands,32.102,6.07050835346816,18.8,1733.6478016970016,2278.6427745882,1.0695796825607715
E10000034,Worcestershire,6915,501241,145551,0.2903812736787294,6595.0,West Midlands,18.089,4.5177746576159,19.4,1379.575892634481,1315.7343473498777,0.9903916329633602
E06000014,York,2045,174543,40218,0.2304188652652928,3425.0,Yorkshire and The Humber,11.727,4.71443265468408,18.7,1171.6310593951061,1962.26717771552,1.0281743507836238
